Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability,Race_ID,Predicted_Rank,Top_3_Flag,Odds_To_Use,Expected_Value,Field_Size,Kelly_Fraction,Reject_Reason,Winrate_Threshold,Bet_Placed,Stake,Actual_Result,Bet_Return,Bankroll_After_Race
2023-07-06,19:15:00,NEWBURY,Milteye,7f,4.0,5.0,5.62,0.168669909305256,2023-07-06_19:15:00,4.0,False,5.0,-0.15665045347372009,7,-0.03916261336843002,kelly_low|,0,False,0.0,0,0.0,7776.885375476621
2023-07-06,20:25:00,NEWBURY,Graham,1m2f,2.0,4.33,4.8,0.190789961083097,2023-07-06_20:25:00,3.0,True,4.33,-0.17387946851018998,7,-0.05221605660966666,kelly_low|,0,False,0.0,0,0.0,8238.054678242384
2023-07-21,16:10:00,NEWBURY,Night Sparkle,1m5½f,1.0,5.5,6.5,0.17264224840035478,2023-07-21_16:10:00,3.0,True,5.5,-0.05046763379804875,7,-0.011215029732899721,kelly_low|,0,False,0.0,1,0.0,8073.293584677536
2023-07-21,16:10:00,NEWBURY,Divina Grace,1m5½f,3.0,6.5,7.1,0.15077612212798625,2023-07-21_16:10:00,4.0,False,6.5,-0.019955206168089434,7,-0.003628219303288988,kelly_low|,0,False,0.0,0,0.0,8073.293584677536
2023-07-22,17:20:00,NEWBURY,Ana Gold,1m,5.0,4.5,5.21,0.19528576700890962,2023-07-22_17:20:00,3.0,True,4.5,-0.12121404845990669,6,-0.03463258527425905,kelly_low|,0,False,0.0,0,0.0,7832.709435854145
2023-08-18,16:55:00,NEWBURY,Mrembo,1m2f,6.0,6.5,6.46,0.15087144831370478,2023-08-18_16:55:00,3.0,True,6.5,-0.01933558596091889,7,-0.003515561083803434,kelly_low|,0,False,0.0,0,0.0,7931.383872822583
2023-09-22,15:00:00,NEWBURY,Ebts Guard,7f,2.0,4.2,4.48,0.19449017146523906,2023-09-22_15:00:00,3.0,True,4.2,-0.18314127984599593,5,-0.05723164995187373,kelly_low|,0,False,0.0,0,0.0,7617.301071458809
2023-09-22,15:00:00,NEWBURY,Commander Crouch,7f,4.0,5.5,6.22,0.17984493075308572,2023-09-22_15:00:00,4.0,False,5.5,-0.01085288085802849,5,-0.002411751301784109,kelly_low|,0,False,0.0,0,0.0,7617.301071458809
2023-09-22,15:35:00,NEWBURY,Blue Lemons,1m,3.0,4.33,4.54,0.18180753781754952,2023-09-22_15:35:00,3.0,True,4.33,-0.21277336125001056,6,-0.06389590427928245,kelly_low|,0,False,0.0,0,0.0,7541.128060744221
2023-09-22,17:20:00,NEWBURY,Concorde,1m2f,1.0,4.0,5.39,0.191932592854375,2023-09-22_17:20:00,3.0,True,4.0,-0.2322696285825,7,-0.0774232095275,kelly_low|,0,False,0.0,1,0.0,8370.652147426086
2023-09-22,17:20:00,NEWBURY,Entrancement,1m2f,2.0,5.0,5.49,0.18372867435206697,2023-09-22_17:20:00,4.0,False,5.0,-0.08135662823966516,7,-0.02033915705991629,kelly_low|,0,False,0.0,0,0.0,8370.652147426086
2023-09-23,13:30:00,NEWBURY,Sense Of Duty,5f,3.0,3.75,4.39,0.20973464899976293,2023-09-23_13:30:00,3.0,True,3.75,-0.213495066250889,5,-0.07763456954577781,kelly_low|,0,False,0.0,0,0.0,8286.945625951825
2023-09-23,14:05:00,NEWBURY,Salt Bay,1m5½f,2.0,5.5,6.13,0.1580491804635056,2023-09-23_14:05:00,3.0,True,5.5,-0.1307295074507192,7,-0.029051001655715378,kelly_low|,0,False,0.0,0,0.0,8286.945625951825
2023-09-23,14:05:00,NEWBURY,Oneforthegutter,1m5½f,6.0,6.5,7.78,0.13929182296863246,2023-09-23_14:05:00,4.0,False,6.5,-0.09460315070388903,7,-0.01720057285525255,kelly_low|,0,False,0.0,0,0.0,8286.945625951825
2023-09-23,15:50:00,NEWBURY,New Chelsea,7f,2.0,5.0,6.31,0.17836651548028087,2023-09-23_15:50:00,3.0,True,5.0,-0.10816742259859558,7,-0.027041855649648894,kelly_low|,0,False,0.0,0,0.0,8608.479116238756
2023-09-23,17:00:00,NEWBURY,Welleef,1m,5.0,5.0,5.5,0.17364138775218663,2023-09-23_17:00:00,3.0,True,5.0,-0.13179306123906687,7,-0.03294826530976672,kelly_low|,0,False,0.0,0,0.0,8608.479116238756
2023-09-23,17:00:00,NEWBURY,City Of York,1m,1.0,6.0,6.24,0.15211813673180496,2023-09-23_17:00:00,4.0,False,6.0,-0.08729117960917021,7,-0.017458235921834042,kelly_low|,0,False,0.0,1,0.0,8608.479116238756
2023-12-01,13:50:00,NEWBURY,Nickle Back,2m4f,2.0,4.33,4.58,0.1649569815821739,2023-12-01_13:50:00,3.0,True,4.33,-0.2857362697491871,6,-0.0858066876123685,kelly_low|,0,False,0.0,0,0.0,8351.94643857484
2023-12-01,15:00:00,NEWBURY,Flight Deck,3m,3.0,21.0,22.94,0.11842275479682185,2023-12-01_15:00:00,3.0,True,21.0,1.4868778507332587,6,0.07434389253666293,odds_high|,0,False,0.0,0,0.0,8103.058434705309
2023-12-02,15:25:00,NEWBURY,Elixir De Nutz,2m½f,1.0,5.5,6.46,0.18153407145685124,2023-12-02_15:25:00,3.0,True,5.5,-0.001562606987318249,6,-0.00034724599718183313,kelly_low|,0,False,0.0,1,0.0,7861.587293351091
2023-12-20,12:15:00,NEWBURY,Gusty,2m½f,,34.0,48.62,0.02748554393027385,2023-12-20_12:15:00,4.0,False,34.0,-0.06549150637068923,6,-0.001984591102142098,kelly_low|odds_high|,0,False,0.0,0,0.0,7782.97142041758
2023-12-20,14:00:00,NEWBURY,Lilith,2m7½f,4.0,26.0,42.81,0.04137870113019501,2023-12-20_14:00:00,4.0,False,26.0,0.07584622938507024,5,0.00303384917540281,odds_high|,0,False,0.0,0,0.0,7932.404471689598
2023-12-30,13:15:00,NEWBURY,The Russian Doyen,2m½f,4.0,4.5,5.6,0.20281764421301496,2023-12-30_13:15:00,3.0,True,4.5,-0.08732060104143269,5,-0.024948743154695054,kelly_low|,0,False,0.0,0,0.0,7696.018818433247
2023-12-30,13:50:00,NEWBURY,Irish Hill,2m4½f,2.0,4.33,4.53,0.19707291087092316,2023-12-30_13:50:00,3.0,True,4.33,-0.1466742959289027,6,-0.04404633511378459,kelly_low|,0,False,0.0,0,0.0,7619.058630248915
2023-12-30,15:35:00,NEWBURY,Ballycamus,2m6½f,4.0,5.0,5.5,0.18228786018076304,2023-12-30_15:35:00,3.0,True,5.0,-0.0885606990961848,7,-0.0221401747740462,kelly_low|,0,False,0.0,0,0.0,7542.868043946425
2024-01-23,15:45:00,NEWBURY,Id Like To Know,2m½f,2.0,4.5,5.4,0.19547851899267082,2024-01-23_15:45:00,3.0,True,4.5,-0.12034666453298126,6,-0.034384761295137505,kelly_low|,0,False,0.0,0,0.0,7467.439363506961
2024-02-10,14:05:00,NEWBURY,Hitman,2m7½f,2.0,10.0,12.0,0.0995418381188133,2024-02-10_14:05:00,4.0,False,10.0,-0.0045816188118669166,5,-0.0005090687568741018,kelly_low|,0,False,0.0,0,0.0,7392.7649698718915
2024-02-10,15:50:00,NEWBURY,Makinyourmindup,2m7½f,1.0,4.5,4.81,0.2041990321670253,2024-02-10_15:50:00,3.0,True,4.5,-0.0811043552483861,5,-0.023172672928110316,kelly_low|,0,False,0.0,1,0.0,7172.460573769709
2024-03-01,14:25:00,NEWBURY,Glorious LIon,2m½f,3.0,21.0,30.0,0.07910755541693544,2024-03-01_14:25:00,4.0,False,21.0,0.6612586637556442,5,0.03306293318778221,odds_high|,0,False,0.0,0,0.0,7423.496693851649
2024-03-01,15:00:00,NEWBURY,Ballycamus,2m4f,2.0,5.0,5.6,0.19871478760254202,2024-03-01_15:00:00,4.0,False,5.0,-0.006426061987289899,4,-0.0016065154968224749,kelly_low|,0,False,0.0,0,0.0,7349.261726913132
2024-03-01,15:35:00,NEWBURY,Just Chasing May,2m4½f,4.0,34.0,77.98,0.02381433987821974,2024-03-01_15:35:00,4.0,False,34.0,-0.19031244414052872,5,-0.005767043761834204,kelly_low|odds_high|,0,False,0.0,0,0.0,7275.769109644001
2024-03-01,16:45:00,NEWBURY,High Game Royal,3m,3.0,5.0,6.2,0.1671606840781487,2024-03-01_16:45:00,3.0,True,5.0,-0.16419657960925638,7,-0.041049144902314094,kelly_low|,0,False,0.0,0,0.0,7130.253727451121
2024-03-01,16:45:00,NEWBURY,Hermino AA,3m,4.0,6.0,7.57,0.15189579040969892,2024-03-01_16:45:00,4.0,False,6.0,-0.0886252575418065,7,-0.0177250515083613,kelly_low|,0,False,0.0,0,0.0,7130.253727451121
2024-03-02,13:20:00,NEWBURY,Commodore,3m2f,,7.0,7.92,0.1390469114256064,2024-03-02_13:20:00,4.0,False,7.0,-0.026671620020755182,7,-0.004445270003459197,kelly_low|,0,False,0.0,0,0.0,7058.95119017661
2024-03-02,15:32:00,NEWBURY,Knowwhentoholdem,2m4½f,1.0,5.0,5.46,0.18843595531165772,2024-03-02_15:32:00,3.0,True,5.0,-0.05782022344171145,6,-0.014455055860427862,kelly_low|,0,False,0.0,1,0.0,6848.594444709347
2024-03-22,14:00:00,NEWBURY,Secret Investor,2m7½f,1.0,4.0,4.3,0.21454933989095132,2024-03-22_14:00:00,3.0,True,4.0,-0.14180264043619473,6,-0.04726754681206491,kelly_low|,0,False,0.0,1,0.0,6644.506330257009
2024-03-22,14:30:00,NEWBURY,Are U Wise To That,2m7½f,4.0,6.0,7.26,0.14803029775332782,2024-03-22_14:30:00,3.0,True,6.0,-0.11181821348003296,7,-0.022363642696006592,kelly_low|,0,False,0.0,0,0.0,6578.061266954439
2024-03-23,16:25:00,NEWBURY,Rath Gaul Hill,2m½f,1.0,4.33,4.61,0.19083056004147766,2024-03-23_16:25:00,3.0,True,4.33,-0.17370367502040163,7,-0.05216326577189238,kelly_low|,0,False,0.0,1,0.0,6382.035041199197
2024-03-23,17:00:00,NEWBURY,First Lord De Cuet,2m7½f,3.0,5.5,5.82,0.154222028763961,2024-03-23_17:00:00,3.0,True,5.5,-0.15177884179821455,7,-0.03372863151071434,kelly_low|,0,False,0.0,0,0.0,6764.9571436711485
2024-04-20,14:05:00,NEWBURY,Star Music,7f,6.0,6.0,6.84,0.15900109568499446,2024-04-20_14:05:00,4.0,False,6.0,-0.0459934258900333,6,-0.00919868517800666,kelly_low|,0,False,0.0,0,0.0,7103.205000854706
